Luxcavation;Stage unlock;Module Cost;Clear Exp;XP per Module;
1;2-12;2;1700;850;
2;2-19;2;3600;1800;
3;3-16;2;4800;2400;
4;4-48;3;10000;3333,333333;
5;5-35;3;12200;4066,666667;
6;6-36;3;14400;4800;
7;7-34;3;16800;5600;
8;8-20;3;20800;6933,333333;
9;9-18;3;25200;8400
Luxcavation;Stage unlock;Module Cost;Clear Exp;XP per Module;
1;2-12;2;1700;850;
2;2-19;2;3600;1800;
3;3-16;2;4800;2400;
4;4-48;3;10000;3333;
5;5-35;3;12200;4066;
6;6-36;3;14400;4800;
7;7-34;3;16800;5600;
8;8-20;3;20800;6933;
9;9-18;3;25200;8400





























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































